CPU,Memory,,TimeSlot,Timestamp,runtime,expected mitigation latency
0.162541667,0.791913986,,1000,99083,639,20
0.07825,0.7907722,,1000,99058,687,5
0.318208333,0.832690001,,1000,99318,516,20
0.072916667,0.504553795,,1000,99219,293,5
0.182958333,0.583952904,,1000,99285,198,15
0.1935,0.605998516,,1000,99365,131,5
0.074875,0.61619854,,1000,99249,418,15
0.14775,0.831267834,,1000,99319,212,30
0.1106875,0.718470891,,1000,99490,253,20
0.28475,0.62954855,,1000,99361,514,5
0.074708333,0.461270809,,1000,99234,704,15
0.072604167,0.724490404,,1000,99989,651,5
0.130229167,0.802331209,,1000,99730,258,15
0.247666667,0.595876694,,1000,99640,374,15
0.068875,0.465053558,,1000,99647,346,10
0.261416667,0.738414288,,1000,99828,107,40
0.055,0.895711422,,1000,99529,146,25
0.337625,0.634260178,,1000,99964,84,15
0.272125,0.820280552,,1000,99834,566,40
0.209083333,0.522445679,,1000,99613,406,15
0.125541667,0.621156693,,1000,99807,524,10
0.259291667,0.788082123,,1000,99925,304,35
0.246583333,0.635282516,,1000,99919,128,10
0.105958333,0.659966469,,1000,99690,703,15
0.179875,0.693125486,,1000,99737,209,25
0.18775,0.741901875,,1000,99797,304,10
0.52075,0.782792807,,1000,99724,588,30
0.044208333,0.598262787,,1000,99732,586,25
0.099041667,0.487192631,,1000,99736,663,5
0.120208333,0.607812881,,1000,99931,133,5
0.130666667,0.527566433,,1000,99932,291,5
0.097833333,0.777690172,,1000,350,507,30
0.106333333,0.720737457,,1000,157,672,15
0.376041667,0.683481216,,1000,91,530,5
0.114333333,0.615469933,,1000,493,225,40
0.088666667,0.843755245,,1000,278,244,25
0.159875,0.710312843,,1000,135,412,40
0.141083333,0.666021347,,1000,408,161,20
0.216083333,0.684415579,,1000,454,468,15
0.114541667,0.638105392,,1000,246,747,10
0.319916667,0.692356348,,1000,261,131,35
0.131,0.765043259,,1000,450,459,15
0.194833333,0.70041132,,1000,386,247,30
0.242333333,0.646253586,,1000,120,720,5
0.186208333,0.575928688,,1000,468,205,40
0.125166667,0.713851452,,1000,421,125,20
0.268,0.68385458,,1000,38,704,40
0.190583333,0.448393345,,1000,99,54,15
0.076229167,0.79342103,,1000,488,664,35
0.133875,0.704045296,,1000,401,168,5
0.051375,0.739336967,,1000,490,306,25
0.085666667,0.774463177,,1000,848,425,30
0.243,0.648485661,,1000,927,232,40
0.141708333,0.539664745,,1000,665,339,15
0.113291667,0.785540819,,1000,866,584,5
0.276333333,0.832144976,,1000,552,443,10
0.100083333,0.776388884,,1000,688,612,25
0.154416667,0.706253052,,1000,909,102,30
0.1745,0.538228989,,1000,509,419,5
0.179416667,0.57684207,,1000,979,546,30
0.20625,0.621308327,,1000,771,482,35
0.127291667,0.560581207,,1000,507,292,5
0.393666667,0.766535282,,1000,759,136,30
0.046395833,0.702284098,,1000,886,260,20
0.235375,0.664147377,,1000,647,153,15
0.154625,0.61242485,,1000,586,78,35
0.693708333,0.681157589,,1000,711,89,5
0.336208333,0.608160019,,1000,841,641,25
0.143354167,0.20840416,,1000,582,555,25
0.358583333,0.785119057,,1000,905,718,25
0.286041667,0.96433115,,3000,859,166,40
0.078875,0.718155384,,3000,1426,404,20
0.1346875,0.741286278,,3000,1283,542,5
0.0655,0.47424078,,3000,1469,79,20
0.324875,0.698291779,,3000,1074,368,40
0.193979167,0.338904667,,3000,1282,648,30
0.059375,0.618015766,,3000,1100,402,15
0.249333333,0.614810467,,3000,1317,572,10
0.148083333,0.610197544,,3000,1441,107,20
0.038458333,0.402514458,,3000,1065,93,25
0.167708333,0.666239262,,3000,1036,232,35
0.184833333,0.640196323,,3000,1437,8,5
0.086666667,0.632396698,,3000,1098,206,15
0.184479167,0.556903601,,3000,1054,117,25
0.209083333,0.653065205,,3000,1376,74,10
0.541666667,0.694583893,,3000,1145,601,35
0.197458333,0.659537792,,3000,1060,199,20
0.169708333,0.654865742,,3000,1467,86,40
0.077875,0.462183952,,3000,1313,220,30
0.160625,0.618886948,,3000,1019,484,40
0.123625,0.751322746,,3000,1486,651,15
0.2140625,0.562093496,,3000,1653,451,25
0.344291667,0.880135536,,3000,1680,575,40
0.164708333,0.490523338,,3000,1915,266,40
0.080708333,0.519448757,,3000,1993,547,10
0.123375,0.443845749,,3000,1613,303,20
0.407708333,0.781018734,,3000,1898,1,35
0.116270833,0.498155594,,3000,1679,399,30
0.096958333,0.694586754,,3000,1785,390,10
0.35325,0.896876097,,3000,1703,154,30
0.162,0.618148804,,3000,1954,619,35
0.102125,0.806061268,,3000,1526,729,35
0.06525,0.540374756,,3000,1654,249,20
0.131125,0.742812157,,3000,1820,212,35
0.055458333,0.702183723,,3000,1894,431,15
0.105354167,0.68950367,,3000,1519,658,5
0.0449375,0.546434641,,3000,1838,178,5
0.130229167,0.721246481,,3000,1632,72,40
0.083291667,0.777422905,,3000,1581,421,40
0.127875,0.485620022,,3000,1727,168,30
0.0645,0.458632469,,3000,1509,431,10
0.298645833,0.603696823,,3000,2315,718,25
0.143479167,0.740131378,,3000,2246,259,25
0.056791667,0.438646317,,3000,2034,357,35
0.069583333,0.476324081,,3000,2194,286,10
0.081083333,0.656303167,,3000,2251,202,25
0.1096875,0.789085627,,3000,2206,644,30
0.172416667,0.657198906,,3000,2127,568,30
