CPU,Memory,,TimeSlot,Timestamp,runtime,expected mitigation latency
0.126958333,0.548737049,,1000,965,897,30
0.103875,0.719101667,,1000,299,382,25
0.261333333,0.483744621,,1000,891,90,20
0.095458333,0.885135889,,1000,721,760,35
0.03928125,0.602099895,,1000,246,1161,20
0.180541667,0.686089993,,1000,402,1149,40
0.046583333,0.452146053,,1000,519,434,15
0.208416667,0.671049595,,1000,564,2457,20
0.066083333,0.473983288,,1000,743,891,40
0.087822917,0.688081384,,1000,272,990,40
0.110583333,0.432496548,,1000,227,236,30
0.2675,0.614775181,,1000,258,167,40
0.0565625,0.551193476,,1000,934,859,25
0.125916667,0.51228857,,1000,912,661,15
0.232708333,0.539166451,,1000,257,1189,25
0.205208333,0.752418995,,1000,205,741,45
0.039416667,0.775356054,,1000,507,167,45
0.202041667,0.869786024,,2000,1744,14,15
0.090270833,0.491974831,,2000,1114,886,35
0.36075,0.710038185,,2000,1025,146,50
0.086583333,0.676196575,,2000,1096,1377,35
0.111625,0.661317825,,2000,1055,1403,25
0.152458333,0.611482143,,2000,1231,167,50
0.153916667,0.606384754,,2000,1540,832,35
0.033875,0.355938911,,2000,1433,299,50
0.195458333,0.591661453,,2000,1116,332,40
0.050916667,0.646522522,,2000,1085,1118,20
0.342916667,0.607582569,,2000,1311,1375,20
0.351041667,0.643673897,,2000,1502,1380,40
0.213354167,0.77256465,,2000,1529,824,25
0.157208333,0.610507011,,2000,1353,686,50
0.127083333,0.206832314,,2000,1720,417,25
0.100541667,0.683521509,,2000,1073,1177,20
0.205541667,0.590221882,,2000,1103,301,20
0.0498125,0.662345409,,2000,1604,676,35
0.062833333,0.901026726,,2000,1729,990,35
0.0698125,0.707191944,,2000,1230,1462,45
0.547645833,0.783617973,,2000,1626,1174,30
0.149958333,0.432748795,,2000,1790,335,50
0.200833333,0.656004429,,2000,1020,1026,45
0.270583333,0.769210339,,2000,1378,1388,50
0.0475625,0.707715034,,2000,1744,219,20
0.465208333,0.896579266,,2000,1417,550,25
0.088458333,0.805367708,,2000,1002,547,40
0.055541667,0.63313961,,2000,1311,1364,40
0.293520833,0.60996294,,2000,1132,1211,15
0.223458333,0.917453766,,2000,1152,1340,50
